year,state,revenue,latitude,longitude
2011,ACT,4578,-35.3546004,149.2113468
2012,ACT,4766,-35.3546004,149.2113468
2013,ACT,4950,-35.3546004,149.2113468
2014,ACT,5002,-35.3546004,149.2113468
2015,ACT,5233,-35.3546004,149.2113468
2016,ACT,5589,-35.3546004,149.2113468
2017,ACT,5729,-35.3546004,149.2113468
2018,ACT,5925,-35.3546004,149.2113468
2019,ACT,6142,-35.3546004,149.2113468
2020,ACT,6695,-35.3546004,149.2113468
2011,NSW,76574,-31.840233,145.612793
2012,NSW,78656,-31.840233,145.612793
2013,NSW,81772,-31.840233,145.612793
2014,NSW,88813,-31.840233,145.612793
2015,NSW,93698,-31.840233,145.612793
2016,NSW,97953,-31.840233,145.612793
2017,NSW,100640,-31.840233,145.612793
2018,NSW,103408,-31.840233,145.612793
2019,NSW,104842,-31.840233,145.612793
2020,NSW,111409,-31.840233,145.612793
2011,NT,2761,-19.491411,132.550964
2012,NT,2877,-19.491411,132.550964
2013,NT,2953,-19.491411,132.550964
2014,NT,3080,-19.491411,132.550964
2015,NT,3092,-19.491411,132.550964
2016,NT,3124,-19.491411,132.550964
2017,NT,3125,-19.491411,132.550964
2018,NT,3145,-19.491411,132.550964
2019,NT,3117,-19.491411,132.550964
2020,NT,3434,-19.491411,132.550964
2011,QLD,50993,-20.917574,142.702789
2012,QLD,53544,-20.917574,142.702789
2013,QLD,55900,-20.917574,142.702789
2014,QLD,57682,-20.917574,142.702789
2015,QLD,59585,-20.917574,142.702789
2016,QLD,61284,-20.917574,142.702789
2017,QLD,62074,-20.917574,142.702789
2018,QLD,63469,-20.917574,142.702789
2019,QLD,66423,-20.917574,142.702789
2020,QLD,73626,-20.917574,142.702789
2011,SA,17290,-30.000233,136.209152
2012,SA,17415,-30.000233,136.209152
2013,SA,17559,-30.000233,136.209152
2014,SA,18187,-30.000233,136.209152
2015,SA,19017,-30.000233,136.209152
2016,SA,19813,-30.000233,136.209152
2017,SA,20511,-30.000233,136.209152
2018,SA,21035,-30.000233,136.209152
2019,SA,21465,-30.000233,136.209152
2020,SA,23064,-30.000233,136.209152
2011,TAS,5175,-40.832922,145.11666
2012,TAS,5111,-40.832922,145.11666
2013,TAS,5187,-40.832922,145.11666
2014,TAS,5550,-40.832922,145.11666
2015,TAS,5760,-40.832922,145.11666
2016,TAS,6042,-40.832922,145.11666
2017,TAS,6205,-40.832922,145.11666
2018,TAS,6457,-40.832922,145.11666
2019,TAS,6684,-40.832922,145.11666
2020,TAS,7409,-40.832922,145.11666
2011,VIC,63427,-37.0201,144.9646
2012,VIC,64221,-37.0201,144.9646
2013,VIC,65574,-37.0201,144.9646
2014,VIC,69613,-37.0201,144.9646
2015,VIC,73320,-37.0201,144.9646
2016,VIC,76508,-37.0201,144.9646
2017,VIC,79270,-37.0201,144.9646
2018,VIC,83392,-37.0201,144.9646
2019,VIC,86222,-37.0201,144.9646
2020,VIC,86953,-37.0201,144.9646
2011,WA,28496,-25.042261,117.793221
2012,WA,31223,-25.042261,117.793221
2013,WA,32205,-25.042261,117.793221
2014,WA,32797,-25.042261,117.793221
2015,WA,33687,-25.042261,117.793221
2016,WA,34052,-25.042261,117.793221
2017,WA,34010,-25.042261,117.793221
2018,WA,33966,-25.042261,117.793221
2019,WA,34670,-25.042261,117.793221
2020,WA,38847,-25.042261,117.793221
